"","honeycomb","score"
"1","adflorw",265
"2","daflorw",183
"3","fadlorw",177
"4","ladforw",207
"5","oadflrw",262
"6","radflow",204
"7","wadflor",143
"8","abdenor",1148
"9","badenor",1020
"10","dabenor",1476
"11","eabdnor",1578
"12","nabdeor",910
"13","oabdenr",982
"14","rabdeno",1425
"15","abdgino",511
"16","badgino",490
"17","dabgino",503
"18","gabdino",787
"19","iabdgno",774
"20","nabdgio",876
"21","oabdgin",566
"22","abeirtv",1096
"23","baeirtv",708
"24","eabirtv",1438
"25","iabertv",941
"26","rabeitv",1448
"27","tabeirv",1171
"28","vabeirt",590
"29","abcdeil",1013
"30","bacdeil",692
"31","cabdeil",574
"32","dabceil",926
"33","eabcdil",1154
"34","iabcdel",822
"35","labcdei",1054
"36","abcdeit",630
"37","bacdeit",379
"38","cabdeit",539
"39","dabceit",688
"40","eabcdit",748
"41","iabcdet",621
"42","tabcdei",592
"43","abdemno",844
"44","bademno",645
"45","dabemno",898
"46","eabdmno",974
"47","mabdeno",780
"48","nabdemo",814
"49","oabdemn",570
"50","abdimno",457
"51","badimno",216
"52","dabimno",293
"53","iabdmno",363
"54","mabdino",403
"55","nabdimo",468
"56","oabdimn",382
"57","abcdetu",501
"58","bacdetu",360
"59","cabdetu",362
"60","dabcetu",536
"61","eabcdtu",654
"62","tabcdeu",464
"63","uabcdet",428
"64","abcenry",677
"65","bacenry",404
"66","cabenry",387
"67","eabcnry",567
"68","nabcery",401
"69","rabceny",585
"70","yabcenr",317
"71","abegint",908
"72","baegint",586
"73","eabgint",855
"74","gabeint",962
"75","iabegnt",1054
"76","nabegit",1225
"77","tabegin",920
"78","abehnry",401
"79","baehnry",285
"80","eabhnry",419
"81","habenry",125
"82","nabehry",236
"83","rabehny",387
"84","yabehnr",240
"85","abdehor",945
"86","badehor",757
"87","dabehor",1151
"88","eabdhor",1216
"89","habdeor",474
"90","oabdehr",729
"91","rabdeho",1137
"92","abcdein",648
"93","bacdein",328
"94","cabdein",478
"95","dabcein",675
"96","eabcdin",680
"97","iabcden",561
"98","nabcdei",571
"99","abcgilo",455
"100","bacgilo",288
"101","cabgilo",382
"102","gabcilo",220
"103","iabcglo",378
"104","labcgio",491
"105","oabcgil",398
"106","abdejru",520
"107","badejru",489
"108","dabejru",631
"109","eabdjru",759
"110","jabderu",141
"111","rabdeju",667
"112","uabdejr",294
"113","abgilnt",1087
"114","bagilnt",524
"115","gabilnt",1049
"116","iabglnt",1246
"117","labgint",877
"118","nabgilt",1197
"119","tabgiln",721
"120","abilnot",918
"121","bailnot",522
"122","iablnot",786
"123","labinot",771
"124","nabilot",783
"125","oabilnt",760
"126","tabilno",756
"127","abeiltv",800
"128","baeiltv",577
"129","eabiltv",811
"130","iabeltv",645
"131","labeitv",874
"132","tabeilv",628
"133","vabeilt",359
"134","abelntu",1017
"135","baelntu",750
"136","eablntu",1059
"137","labentu",960
"138","nabeltu",723
"139","tabelnu",938
"140","uabelnt",667
"141","abdeltu",1077
"142","badeltu",974
"143","dabeltu",916
"144","eabdltu",1348
"145","labdetu",1123
"146","tabdelu",836
"147","uabdelt",676
"148","abdegnt",735
"149","badegnt",354
"150","dabegnt",596
"151","eabdgnt",854
"152","gabdent",335
"153","nabdegt",634
"154","tabdegn",534
"155","ablmnor",500
"156","balmnor",304
"157","labmnor",299
"158","mablnor",326
"159","nablmor",234
"160","oablmnr",436
"161","rablmno",311
"162","abdeiou",191
"163","badeiou",253
"164","dabeiou",307
"165","eabdiou",285
"166","iabdeou",140
"167","oabdeiu",158
"168","uabdeio",123
"169","abeiotu",168
"170","baeiotu",226
"171","eabiotu",169
"172","iabeotu",95
"173","oabeitu",129
"174","tabeiou",228
"175","uabeiot",124
"176","abimnot",697
"177","baimnot",305
"178","iabmnot",625
"179","mabinot",554
"180","nabimot",709
"181","oabimnt",591
"182","tabimno",585
"183","abginor",753
"184","baginor",637
"185","gabinor",1000
"186","iabgnor",979
"187","nabgior",1117
"188","oabginr",619
"189","rabgino",764
"190","abdeort",1679
"191","badeort",1194
"192","dabeort",1557
"193","eabdort",2134
"194","oabdert",1142
"195","rabdeot",2083
"196","tabdeor",1488
"197","abinort",922
"198","bainort",437
"199","iabnort",754
"200","nabiort",807
"201","oabinrt",827
"202","rabinot",824
"203","tabinor",917
"204","abghotu",148
"205","baghotu",159
"206","gabhotu",142
"207","habgotu",151
"208","oabghtu",186
"209","tabghou",198
"210","uabghot",182
"211","abcilou",409
"212","bacilou",339
"213","cabilou",350
"214","iabclou",300
"215","labciou",415
"216","oabcilu",270
"217","uabcilo",157
"218","abdenou",362
"219","badenou",446
"220","dabenou",605
"221","eabdnou",571
"222","nabdeou",509
"223","oabdenu",333
"224","uabdeno",297
"225","abdeorv",871
"226","badeorv",782
"227","dabeorv",1130
"228","eabdorv",1290
"229","oabderv",755
"230","rabdeov",1251
"231","vabdeor",488
"232","abdginr",943
"233","badginr",652
"234","dabginr",648
"235","gabdinr",1034
"236","iabdgnr",1141
"237","nabdgir",1160
"238","rabdgin",856
"239","abcdert",1899
"240","bacdert",905
"241","cabdert",962
"242","dabcert",1366
"243","eabcdrt",2117
"244","rabcdet",1954
"245","tabcder",1481
"246","abdegir",1205
"247","badegir",962
"248","dabegir",1454
"249","eabdgir",1843
"250","gabdeir",973
"251","iabdegr",945
"252","rabdegi",1687
"253","abegort",1137
"254","baegort",670
"255","eabgort",1274
"256","gabeort",681
"257","oabegrt",672
"258","rabegot",1415
"259","tabegor",1106
"260","abeprtu",985
"261","baeprtu",457
"262","eabprtu",1195
"263","pabertu",620
"264","rabeptu",1148
"265","tabepru",982
"266","uabeprt",502
"267","abcdenu",429
"268","bacdenu",311
"269","cabdenu",286
"270","dabcenu",562
"271","eabcdnu",590
"272","nabcdeu",417
"273","uabcden",342
"274","abemntu",615
"275","baemntu",327
"276","eabmntu",606
"277","mabentu",432
"278","nabemtu",539
"279","tabemnu",584
"280","uabemnt",313
"281","abgintu",591
"282","bagintu",373
"283","gabintu",710
"284","iabgntu",784
"285","nabgitu",805
"286","tabginu",581
"287","uabgint",366
"288","acdeilm",1197
"289","cadeilm",813
"290","daceilm",1068
"291","eacdilm",1275
"292","iacdelm",1045
"293","lacdeim",1071
"294","macdeil",874
"295","acdeimn",1110
"296","cadeimn",703
"297","daceimn",1047
"298","eacdimn",1121
"299","iacdemn",967
"300","macdein",888
"301","nacdeim",966
"302","aceilnu",827
"303","caeilnu",729
"304","eacilnu",675
"305","iacelnu",649
"306","laceinu",879
"307","naceilu",769
"308","uaceiln",382
"309","acdegin",783
"310","cadegin",566
"311","dacegin",890
"312","eacdgin",860
"313","gacdein",651
"314","iacdegn",900
"315","nacdegi",909
"316","acelnrt",2158
"317","caelnrt",1297
"318","eaclnrt",2225
"319","lacenrt",1265
"320","nacelrt",1373
"321","racelnt",1852
"322","tacelnr",1885
"323","acdelrt",2273
"324","cadelrt",1391
"325","dacelrt",1590
"326","eacdlrt",2608
"327","lacdert",1397
"328","racdelt",2158
"329","tacdelr",1800
"330","acelort",1923
