"","pSteal","pRebound","jWin"
"1",0,0,0.781
"2",0.01,0,0.775
"3",0.02,0,0.762
"4",0.03,0,0.774
"5",0.04,0,0.759
"6",0.05,0,0.749
"7",0.06,0,0.745
"8",0.07,0,0.785
"9",0.08,0,0.775
"10",0.09,0,0.772
"11",0.1,0,0.766
"12",0.11,0,0.765
"13",0.12,0,0.763
"14",0.13,0,0.792
"15",0.14,0,0.791
"16",0.15,0,0.786
"17",0.16,0,0.789
"18",0.17,0,0.797
"19",0.18,0,0.801
"20",0.19,0,0.8
"21",0.2,0,0.8
"22",0.21,0,0.798
"23",0.22,0,0.785
"24",0.23,0,0.818
"25",0.24,0,0.791
"26",0.25,0,0.799
"27",0.26,0,0.829
"28",0.27,0,0.83
"29",0.28,0,0.794
"30",0.29,0,0.81
"31",0.3,0,0.83
"32",0.31,0,0.837
"33",0.32,0,0.83
"34",0.33,0,0.816
"35",0.34,0,0.856
"36",0.35,0,0.825
"37",0.36,0,0.842
"38",0.37,0,0.852
"39",0.38,0,0.835
"40",0.39,0,0.852
"41",0.4,0,0.852
"42",0.41,0,0.85
"43",0.42,0,0.857
"44",0.43,0,0.847
"45",0.44,0,0.85
"46",0.45,0,0.866
"47",0.46,0,0.88
"48",0.47,0,0.861
"49",0.48,0,0.86
"50",0.49,0,0.859
"51",0.5,0,0.874
"52",0.51,0,0.884
"53",0.52,0,0.89
"54",0.53,0,0.887
"55",0.54,0,0.891
"56",0.55,0,0.894
"57",0.56,0,0.885
"58",0.57,0,0.897
"59",0.58,0,0.883
"60",0.59,0,0.908
"61",0.6,0,0.895
"62",0.61,0,0.906
"63",0.62,0,0.916
"64",0.63,0,0.922
"65",0.64,0,0.916
"66",0.65,0,0.916
"67",0.66,0,0.916
"68",0.67,0,0.914
"69",0.68,0,0.918
"70",0.69,0,0.93
"71",0.7,0,0.914
"72",0.71,0,0.941
"73",0.72,0,0.936
"74",0.73,0,0.934
"75",0.74,0,0.917
"76",0.75,0,0.931
"77",0.76,0,0.932
"78",0.77,0,0.937
"79",0.78,0,0.944
"80",0.79,0,0.954
"81",0.8,0,0.949
"82",0.81,0,0.96
"83",0.82,0,0.956
"84",0.83,0,0.952
"85",0.84,0,0.961
"86",0.85,0,0.972
"87",0.86,0,0.962
"88",0.87,0,0.973
"89",0.88,0,0.97
"90",0.89,0,0.965
"91",0.9,0,0.972
"92",0.91,0,0.975
"93",0.92,0,0.977
"94",0.93,0,0.988
"95",0.94,0,0.985
"96",0.95,0,0.99
"97",0.96,0,0.987
"98",0.97,0,0.992
"99",0.98,0,0.994
"100",0.99,0,1
"101",1,0,1
"102",0,0.01,0.728
"103",0.01,0.01,0.737
"104",0.02,0.01,0.753
"105",0.03,0.01,0.77
"106",0.04,0.01,0.75
"107",0.05,0.01,0.748
"108",0.06,0.01,0.757
"109",0.07,0.01,0.761
"110",0.08,0.01,0.75
"111",0.09,0.01,0.774
"112",0.1,0.01,0.775
"113",0.11,0.01,0.759
"114",0.12,0.01,0.792
"115",0.13,0.01,0.788
"116",0.14,0.01,0.766
"117",0.15,0.01,0.779
"118",0.16,0.01,0.793
"119",0.17,0.01,0.799
"120",0.18,0.01,0.808
"121",0.19,0.01,0.8
"122",0.2,0.01,0.774
"123",0.21,0.01,0.803
"124",0.22,0.01,0.799
"125",0.23,0.01,0.818
"126",0.24,0.01,0.829
"127",0.25,0.01,0.799
"128",0.26,0.01,0.829
"129",0.27,0.01,0.828
